v,h
9.744382,46m
9.655241,46m
9.697503,46m
9.759331,46m
9.791498,46m
9.879816,46m
9.971289,46m
9.645146,46m
9.069819,46m
8.568933,46m
8.265494,46m
8.546234,46m
8.176563,46m
8.270553,46m
8.275599,46m
8.070574,46m
8.059216,46m
8.08193,46m
7.881951,46m
8.001819,46m
7.951977,46m
7.917898,46m
8.205582,46m
8.397346,46m
8.585945,46m
8.338686,46m
8.147535,46m
7.526815,46m
6.930047,46m
6.779894,46m
6.679597,46m
6.583073,46m
6.458188,46m
6.672034,46m
7.147691,46m
7.765249,46m
8.628223,46m
9.085613,46m
8.889407,46m
9.020604,46m
8.655996,46m
8.779628,46m
8.505213,46m
8.350671,46m
7.806884,46m
8.268653,46m
8.493861,46m
7.81825,46m
7.997395,46m
8.143741,46m
8.13555,46m
8.017587,46m
7.774716,46m
7.701543,46m
7.450475,46m
7.60125,46m
7.345773,46m
7.072618,46m
6.80009,46m
6.53766,46m
6.16043,46m
5.926388,46m
5.662066,46m
5.438752,46m
4.854595,46m
4.976353,46m
4.779531,46m
4.300724,46m
4.535402,46m
3.858507,46m
4.857121,46m
4.262871,46m
4.23701,46m
4.148694,46m
4.025047,46m
3.611849,46m
3.468647,46m
3.3185,46m
2.917298,46m
3.092039,46m
3.542457,46m
3.693859,46m
2.938749,46m
2.890806,46m
2.50221,46m
2.828353,46m
2.833398,46m
2.346394,46m
1.647436,46m
3.675567,46m
4.015587,46m
3.466757,46m
3.395472,46m
2.862418,46m
3.374017,46m
3.41313,46m
3.691343,46m
3.669891,46m
3.408083,46m
3.408087,46m
2.718592,46m
3.26994,46m
3.28443,46m
3.246599,46m
2.83719,46m
2.707855,46m
2.601876,46m
2.877553,46m
2.819526,46m
2.721741,46m
2.560245,46m
1.141513,46m
1.08915,46m
1.34779,46m
1.532622,46m
1.800093,46m
1.509912,46m
1.552173,46m
1.903551,46m
2.045495,46m
1.327609,46m
1.205226,46m
1.131422,46m
1.394469,46m
4.471681,46m
3.763876,46m
4.002971,46m
6.769181,46m
4.624358,46m
3.240289,46m
2.873144,46m
2.400642,46m
2.376677,46m
2.794918,46m
3.433955,46m
4.501323,46m
4.833791,46m
4.888046,46m
4.895604,46m
4.436342,46m
4.555572,46m
4.623065,46m
4.443921,46m
4.816122,46m
4.810565,46m
5.45577,46m
5.338461,46m
5.091806,46m
5.48354,46m
5.922606,46m
6.036149,46m
6.343375,46m
6.163595,46m
4.956777,46m
5.479122,46m
5.732723,46m
5.858882,46m
6.265147,46m
5.752274,46m
5.552934,46m
5.718211,46m
6.380589,46m
6.319397,46m
5.717578,46m
5.204084,46m
5.457671,46m
5.854474,46m
5.74533,46m
4.792778,46m
4.402925,46m
4.455287,46m
4.760598,46m
4.013069,46m
3.20938,46m
4.081189,46m
4.720225,46m
3.24912,46m
2.057475,46m
0.4116331,46m
1.201435,46m
2.287097,46m
2.682002,46m
3.190444,46m
2.723004,46m
2.041076,46m
2.426506,46m
2.753283,46m
3.047877,46m
4.600377,46m
5.470923,46m
5.185792,46m
5.863948,46m
5.463356,46m
3.737402,46m
3.835807,46m
3.86545,46m
3.149449,46m
3.105916,46m
3.93169,46m
3.844625,46m
4.517721,46m
2.974079,46m
2.89585,46m
3.132406,46m
3.58094,46m
3.832008,46m
4.598485,46m
4.735367,46m
3.900149,46m
2.73688,46m
2.39434,46m
2.585479,46m
2.620172,46m
2.243572,46m
2.314856,46m
1.800093,46m
1.151602,46m
1.429167,46m
2.093432,46m
2.453007,46m
2.033503,46m
2.029719,46m
1.835424,46m
2.714803,46m
2.835291,46m
2.553939,46m
2.962718,46m
2.863047,46m
2.744455,46m
2.887648,46m
3.310303,46m
3.268039,46m
3.251639,46m
3.232723,46m
2.781032,46m
2.230323,46m
2.471296,46m
2.83213,46m
3.026437,46m
3.331124,46m
3.559484,46m
3.343741,46m
